group,horizon_days,n,first_date,last_date,mean_implied_vol,mean_realized_vol,mean_vrp_variance,median_vrp_variance,mean_vrp_vol_points,median_vrp_vol_points,sd_vrp_vol_points,pct_positive_vrp,mean_variance_ratio
Pooled,21,11602,2011-01-07,2026-05-29,0.27406297946949026,0.23567092397057215,0.013915992240412215,0.0177640983712993,0.03839205549891808,0.04875009117832145,0.08613167159242158,0.7809860368901913,1.8447764781529705
AAPL,21,3866,2011-01-07,2026-05-29,0.2975816903314658,0.2587258048754118,0.015435600749741622,0.02322581539290768,0.03885588545605403,0.05106846361286471,0.09030323972390913,0.7496120020693223,1.6675542035933337
AMZN,21,3866,2011-01-07,2026-05-29,0.3424995560771637,0.30224931718068826,0.018332937317975532,0.029518407222344167,0.04025023889647537,0.054790118915891486,0.09278642981012183,0.7490946714950854,1.6654820020095513
INDEX,21,3870,2011-01-07,2026-05-29,0.18220273622461602,0.1461302940665879,0.007985574626219122,0.011286462327984602,0.03607244215802814,0.04497628072212267,0.07408628472254822,0.8441860465116279,2.200924736090442
Pooled,42,11539,2011-01-07,2026-04-29,0.29676235016988467,0.24133641569199663,0.027126487140160183,0.026432405102684,0.05542593447788802,0.06414511971695197,0.09011851540738043,0.824334864372996,1.9977310869504197
AAPL,42,3845,2011-01-07,2026-04-29,0.32283570262194355,0.2642186732096784,0.030448173289083263,0.034891300750104874,0.05861702941226514,0.06907326652063925,0.09266963127591255,0.8267880364109232,1.8205657392758214
AMZN,42,3845,2011-01-07,2026-04-29,0.3713280282650286,0.3098264223485042,0.03847186012602375,0.044211364363776595,0.06150160591652437,0.073270741663083,0.0970697825860921,0.7745123537061118,1.8014940626928382
INDEX,42,3849,2011-01-07,2026-04-29,0.1962279068199249,0.15005910840445225,0.012474670467451768,0.015808414705253973,0.04616879841547265,0.05788851177462123,0.07891209424115328,0.8716549753182645,2.370745407573758
Pooled,63,11476,2011-01-07,2026-03-30,0.3034217937006629,0.24450723246894523,0.031225357276948244,0.02761387505660429,0.05891456123171763,0.06651388741974334,0.09195817137727264,0.8077727431160683,2.0036161902438003
AAPL,63,3824,2011-01-07,2026-03-30,0.33044328768630254,0.26735183288277925,0.03532072806218665,0.03957332686192846,0.06309145480352331,0.07430622749797829,0.09445169595592674,0.8125,1.8386220136833826
AMZN,63,3824,2011-01-07,2026-03-30,0.3795403036799244,0.3137870163502646,0.044482847715775375,0.044880799014114764,0.06575328732965975,0.0721254009076327,0.0987649365993547,0.7510460251046025,1.7900327616087792
INDEX,63,3828,2011-01-07,2026-03-30,0.20038956403457575,0.15247911189823837,0.013890628614245363,0.01685998884142558,0.047910452136337406,0.05944191513119383,0.08071094073144947,0.859717868338558,2.3817982075550215
